회사명 : 서바이빙에프앤비(주),,,,,,
품목코드,품목명,품목구분,규격정보,품목그룹1명,검색창내용,사용
000001,핸드타올,[상품],5000매,,,YES
000002,락스12L,[상품],12L,,,YES
000003,생수500ml,[상품],20ea,,,YES
000004,냉동혼합야채(카레/짜장),[원재료],1kg,,,YES
000005,작업비,[무형상품],kg,,,YES
000006,보관료,[무형상품],bt,,,YES
000007,할인,[무형상품],,,,YES
000008,파손(환급),[상품],,,,YES
000009,돈목뼈,[상품],kg,,,YES
000012,삼형제 김치찌개(400g),[제품],,,,YES
000013,IBP CH 냉동(우)알목심-미국,[원재료],kg,,,YES
000014,뼈구이,[제품],800g,,,YES
000015,검사비,[무형상품],,,,YES
000016,소불고기,[상품],600g,,,YES
000017,고추장14kg,[원재료],14kg,,,YES
000018,냉동절단 감자,[상품],1kg,,,YES
000019,냉동절단 당근,[상품],1kg,,,YES
000020,구울계닭곰탕500g,[제품],,,,YES
000022,목뼈(캐나다),[원재료],kg,,,YES
000023,밀떡,[원재료],kg,,,YES
000024,닭고기(국내산,[원재료],kg,,,YES
000026,가마솥김치찌개550g,[제품],550g*25ea*1box,,,YES
000027,통 가마솥 김치찜550g,[제품],550g*25ea*1box,,,YES
000028,등갈비 김치찜700g,[제품],700g,,,YES
00003,냉동부침개 김치전,[상품],10ea,,,YES
000030,사골육수400g,[제품],ea,,,YES
000031,김치찌개550g,[제품],550g,이한,,YES
000035,순살 감자탕630g,[제품],630g*20*1box,,,YES
000037,사태,[원재료],kg,,,YES
000038,이한컴퍼니택배비(가맹점),[무형상품],,,,YES
000039,ccw사골육수,[제품],400g,,,YES
00004,냉동부침개 부추전,[상품],10ea,,,YES
000040,ccw 매운갈비찜,[상품],600g,,,YES
000041,소양+벌집양10.5kg,[상품],,,,YES
000042,시래기4.5kg,[상품],,,,YES
000043,해장육수7.5kg,[상품],,,,YES
000044,막내장7.5kg,[상품],,,,YES
000045,삶은선지7.5kg,[상품],,,,YES
000046,내장육수,[상품],,,,YES
000047,차돌된장찌개600g,[제품],,,,YES
000048,갈비탕800g,[상품],,,,YES
000049,된장찌개550g,[제품],550g,,,YES
00005,냉동부침개 감자전,[상품],10ea,,,YES
000050,매콤버터소스,[제품],kg,,,YES
000051,다진육1kg,[상품],4kg*3ea*1box,,,YES
000052,한우등심(3등급),[상품],300g,,,YES
000053,채끝육회,[상품],,,,YES
000054,삼청당 김치찌개550g,[제품],550g*20*1box,,,YES
000055,등갈비구이400g,[상품],,,,YES
000056,간장불고기250g,[상품],,,,YES
000057,제육볶음250g,[상품],,,,YES
000058,묵은지 갈비찜700g,[상품],700g,,,YES
000059,얼큰갈비탕800g,[상품],800g,,,YES
00006,냉동부침개 해물전,[상품],10ea,,,YES
000060,양평해장국630g,[상품],630g,,,YES
000061,소머리곰탕630g,[상품],630g,,,YES
000062,등갈비덮밥(매운),[제품],,,,YES
000063,등갈비구이(3조각),[상품],,,,YES
000064,국밥다데기2kg,[상품],2kg,,,YES
000065,이한본점택배비,[상품],,,,YES
000066,국보국밥봉투(중),[상품],,,,YES
000067,국보국밥 비닐(대),[상품],,,,YES
000068,김치찜550g,[상품],,,,YES
000069,조지아175ml,[무형상품],30ea*1box,,,YES
00007,냉동 차돌양지[호주산],[원재료],1kg,,,YES
000070,스프라이트1.5L,[상품],12ea*1box,,,YES
000071,실속다시 화미 2kg,[상품],2kg*6ea*1box,,,YES
000072,고명용편육슬라스2.2mm,[상품],1kg,,,YES
000073,고명용편육슬라스2.7mm,[상품],1kg,,,YES
000074,냉동양파1kg,[상품],1kg*10ea*1box,,,YES
000075,애호박(냉동)1kg,[상품],1kg*10ea*1box,,,YES
000076,등갈비,[상품],kg,,,YES
000077,소앞다리kg,[원재료],0.2cm,,,YES
000078,흑설탕15kg,[원재료],15kg,,,YES
000079,굴소스2kg,[원재료],2kg,,,YES
000080,LPG가스,[상품],kg,,,YES
000081,식자재,[상품],,,,YES
000082,축산물,[상품],,,,YES
000083,등갈비소스,[상품],2kg,,,YES
000084,뼈해장국,[상품],,,,YES
000085,보관비,[무형상품],,,,YES
10032,냉동 김치포자만두180g,[상품],180g,,,YES
10033,냉동 고기 포자만두 180g,[상품],180,,,YES
10034,석박지 1kg,[상품],1kg,,,YES
10035,강순자 석박지 10gk,[상품],10kg,,,YES
10036,임꺽정떡갈비1.2kg,[상품],1.2kg,,,YES
10037,굿프랜즈 그릴떡갈비1kg,[상품],1kg,,,YES
10038,푸르온 고기왕만두1.4kg,[상품],1.4kg,,,YES
10039,푸르온 김치왕만두1.4kg,[상품],1.4kg,,,YES
10040,메밀 김치전병1.8kg,[상품],1.8kg,,,YES
10041,엄지갈비만두1.080g,[상품],1.08kg,,,YES
10042,해성 수입 새우젖2kg,[상품],2kg,,,YES
10043,청정원 소갈비양념,[원재료],10kg,,,YES
10044,느타리버섯,[원재료],2kg,,,YES
10045,들기름1.8L,[원재료],1.8L,,,YES
10047,위생장갑500매,[상품],500ea,,,YES
10048,얼큰소고기국밥630g,[제품],630g,,,YES
10049,설렁탕630g,[제품],630g,,,YES
10050,수육국밥630g,[제품],630g,,,YES
10054,택배비,[무형상품],,,,YES
10055,도서지역 운임,[무형상품],,,,YES
10100,택배비(극소),[무형상품],215*215*130,,,YES
10101,택배비(소),[상품],270*210*160,,,YES
10102,택배비(중),[상품],320*250*195,,,YES
10103,택배비(대),[상품],375*265*220,,,YES
10104,택배비(특대),[상품],395*315*245,,,YES
11000,오징어삼겹살볶음 300g,[상품],300,,,YES
11001,꼼장어볶음300g,[상품],300,,,YES
11002,쭈꾸미볶음300g,[상품],300,,,YES
11003,낙지삼겹살볶음300g,[상품],300,,,YES
11004,쭈꾸미삼겹살볶음300g,[상품],300,,,YES
11005,갑오징어볶음300g,[상품],300,,,YES
11006,낙지볶음300g,[상품],300,,,YES
11007,오징어볶음300g,[상품],300,,,YES
11008,아구불고기볶음 300g,[상품],300,,,YES
11009,양념게장 2kg,[상품],2kg,,,YES
11010,간장게장 2kg,[상품],2kg,,,YES
11011,양념꼬막 300g,[상품],300,,,YES
11012,간장꼬막 300g,[상품],300g,,,YES
11013,땡초보리된장 500g,[상품],500,,,YES
11014,닭볶음탕 500g,[상품],500,,,YES
A0006,얼큰우거지순대국630g,[제품],630g,삼형제,,YES
A0007,순대국630g,[제품],630g,,,YES
A0008,돼지고기김치찜700g,[제품],700g,,,YES
A0016,유한락스1L(레귤러),[상품],1L*12ea*1box,공산품,,YES
A0017,유한락스플러스세제,[상품],755ml*12ea*1box,,,YES
A0018,맛소금2k(대상),[원재료],kg,,,YES
A0019,청정원돼지갈비양념10k,[원재료],10kg,,,YES
A0020,해태갈아만든배1.5,[원재료],1.5L,,,YES
A0021,감사합니다★물티슈400매,[상품],400ea*1box,,,YES
A0022,더순수1회용물티슈100x4,[상품],400ea*1box,,,YES
A0023,다무리자동저분40p*5(종이포장),[상품],200ea*1box,,,YES
A0024,다무리나무젓가락70P*5(비닐),[상품],350ea*1box,,,YES
A0025,다용도컵1호(70파이),[상품],100ea*30ea*1box,,,YES
A0026,다용도컵2호(70파이),[상품],100ea*30ea*1box,,,YES
A0027,오리올리면용기(소),[상품],50ea*4ea*1box,,,YES
A0028,오리올리성형탕용기(소),[상품],50ea*4ea*1box,,,YES
A0029,돈까스도시락(5칸)200ea,[상품],200,,,YES
A0030,TY-5칸도시락(50매)세트,[상품],4,,,YES
A0032,1회용수저(벌크100입),[상품],1500,,,YES
A0033,해성수입새우젓2k,[상품],2kg*6ea*1box,,,YES
A0034,달솔)찰순대2kg,[상품],2kg*10ea*1box,,,YES
A0035,이금기치킨파우더1kg,[원재료],1kg*12ea*1box,,,YES
A0036,김치10K,[원재료],10k*1box,,,YES
A0037,냉동다진생강1k(중국산),[부재료],1kg*10*1box,,,YES
A0038,더조은키친롤백500매;,[상품],30cm*40*500매,,,YES
A0039,더조은키친롤백500매,[상품],25cm*35cm*500매,,,YES
A0040,삼색부직포행주(3색) 10매,[상품],1봉 10매,,,YES
A0041,유니랩(업소용)30-500,[상품],6,,,YES
A0042,더조은키친롤백500매.,[상품],17cm*25*500매,,,YES
A0043,더조은키친롤백500매..,[상품],35cm*45cm*500매,,,YES
A0044,비닐막지(63)70L(청색),[상품],1,,,YES
A0045,화미찰당면1kg,[상품],1,,,YES
A0046,화미실속당면1k,[상품],찰,,,YES
A0047,쉐프원알찬당면14kg,[상품],1,,,YES
A0048,해찬들알찬쌈장14k,[상품],1,,,YES
A0049,오뚜기양조식초15L,[상품],1,,,YES
A0050,디딤돌콩식용유18L,[상품],디딤돌,,,YES
A0051,깨끗한콩식용유18L,[상품],중국산,,,YES
A0052,스팸1.81kg,[상품],6,,,YES
A0053,신송참기름1.8,[상품],8,,,YES
A0054,참맛오징어젓2K,[상품],6,,,YES
A0055,맥심모카골드200T,[상품],맥심20호,,,YES
A0056,카누다크아메리카노,[상품],미니100T,,,YES
A0057,반코팅장갑(10p벌크),[상품],10,,,YES
A0058,델라베이키드빈스2700g,[상품],2.7kg*6*1box,,,YES
A0059,초원민찌450g그라운드,[상품],450g*40*1box,,,YES
A0060,반찬단지무말랭이4k,[상품],4,,,YES
A0061,해성백김치10k,[상품],1,,,YES
A0062,백미진공밀떡볶이2k(소),[상품],1,,,YES
A0063,송학쌀떡1kg(떡국떡,[상품],12,,,YES
A0064,특란★(검단),[상품],1,,,YES
A0065,설악막국수2K,[상품],6,,,YES
A0066,설악칡냉면2K,[상품],6,,,YES
A0067,천일수타중화면230g,[상품],230*5,,,YES
A0068,쇠고기다시다1kg,[상품],,,,YES
A0069,햇살가득볶음참깨1kg,[상품],,,,YES
A0070,디딤돌프리미엄점보롤300M,[상품],천연펄프(정품),,,YES
A0071,디딤돌플라워점보롤(4입),[상품],2겹꽃무늬,,,YES
A0072,노랑고무줄(벌크)1kg,[상품],10,,,YES
A0077,22년보성농협진심쌀20k,[상품],1,,,YES
A0078,달솔)찰순대2kg,[상품],1kg,,,YES
A0079,"석박지(베추국내산,고춧가루중국산)",[상품],10kg,,,YES
A0080,부천몽고진간장13L,[원재료],13L,,,YES
A0081,오뚜기 미향 18L,[원재료],18L,,,YES
A0082,재래된장14kg,[원재료],ea,,,YES
A0083,화미 실속다시다20kg,[원재료],20kg,,,YES
A0084,사이다1.5L,[원재료],1.5L*12,,,YES
A0085,소불고기양념장 청정원,[원재료],EA(10kg),,,YES
A0086,진간장덕용 샘표14L,[원재료],EA(12ℓ),,,YES
A0087,푸드림하얀설탕15kg,[원재료],EA(15kg),,,YES
A0088,후추 (1kg),[원재료],EA(1kg_외국산),,,YES
A0089,고추기름1.5L,[원재료],EA(1.5ℓ),,,YES
A0090,요리당 백설 CJ 2.45kg,[원재료],EA(2.45kg),,,YES
A0091,닭 농축액(새한),[원재료],1kg,,,YES
A0092,돈골농축액20L,[원재료],ea,,,YES
A0093,사골농축액1kg,[원재료],kg,,,YES
A0094,들깨가루,[부재료],1kg,,,YES
A0095,하이퐁12kg,[상품],12kg,,,YES
A0096,유한락스755ml,[상품],755ml,,,YES
A0097,월계수잎230g,[원재료],230g,,,YES
A0098,남부빅켄터키후랑크1kg,[상품],10,,,YES
A0099,튤립햄런천미트1.81k,[상품],6,,,YES
A0100,청양고춧가루(중국산),[원재료],5kg,,,YES
A0101,일반고춧가루(중국산),[원재료],5kg,,,YES
A0102,냉동 간마늘1kg(중국산),[원재료],1kg,,,YES
A0103,대경)슬라이스순대,[원재료],1kg,,,YES
A0104,데친줄기염통(450g),[원재료],20ea*1box,,,YES
A0105,데친오소리감투(320g),[원재료],30ea*1box,,,YES
A0106,머리고기(삶은)3kg,[원재료],kg,,,YES
